SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab,total_debt,interest_coverage,leverage,roa,ocf_to_debt,leverage_w,interest_coverage_w,roa_w,ocf_to_debt_w,distress,distress_lag1,distress_2y,default_t_plus_1
3002455,Levi Strauss & Co.,LEVI,2020,1497155.0,469600.0,71200.0,213000.0,-82200.0,1546700.0,17631.0,5641241.0,4452600.0,,1564331.0,,0.27730263606890754,0.012621336333618791,0.3001922227456977,0.27730263606890754,,0.012621336333618791,0.3001922227456977,0,,0,0.0
3002455,Levi Strauss & Co.,LEVI,2021,810300.0,737300.0,686200.0,829400.0,-72900.0,1020700.0,5900.0,5900100.0,5763900.0,,1026600.0,,0.1739970508974424,0.11630311350655073,0.7181959867523865,0.1739970508974424,,0.11630311350655073,0.7181959867523865,0,0.0,0,0.0
3002455,Levi Strauss & Co.,LEVI,2022,429600.0,228100.0,667200.0,826100.0,-25700.0,984500.0,11700.0,6037800.0,6168600.0,,996200.0,,0.16499387194011064,0.11050382589684984,0.22897008632804658,0.16499387194011064,,0.11050382589684984,0.22897008632804658,0,0.0,0,0.0
3002455,Levi Strauss & Co.,LEVI,2023,398800.0,435500.0,554800.0,719700.0,-45900.0,1009400.0,12500.0,6053600.0,6179000.0,,1021900.0,,0.16880864279106647,0.09164794502444826,0.42616694392797727,0.16880864279106647,,0.09164794502444826,0.42616694392797727,0,0.0,0,0.0
3002455,Levi Strauss & Co.,LEVI,2024,690000.0,898400.0,653500.0,846400.0,-41800.0,994000.0,5500.0,6375500.0,6355300.0,,999500.0,,0.15677201788095052,0.1025017645674849,0.8988494247123562,0.15677201788095052,,0.1025017645674849,0.8988494247123562,0,0.0,0,
3002572,Unit Corporation,UNTC,2020,12145.0,74763.0,-112953.0,32517.0,-28525.0,98400.0,,649703.0,410485.0,,,,,-0.17385328373118178,,,,-0.17385328373118178,,0,,0,0.0
3002572,Unit Corporation,UNTC,2021,64140.0,175969.0,76279.0,140605.0,-4266.0,19200.0,,629477.0,638716.0,,,,,0.12117837506374339,,,,0.12117837506374339,,0,0.0,0,0.0
3002572,Unit Corporation,UNTC,2022,213975.0,159421.0,172003.0,197944.0,-447.0,,,469255.0,545525.0,,,,,0.36654484235650125,,,,0.36654484235650125,,0,0.0,0,0.0
3002572,Unit Corporation,UNTC,2023,60779.0,150162.0,126193.0,145797.0,-164.0,,,322720.0,327293.0,,,,,0.39102937530986615,,,,0.39102937530986615,,0,0.0,0,0.0
3002572,Unit Corporation,UNTC,2024,48884.0,75216.0,55928.0,72374.0,-55.0,,,289243.0,237612.0,,,,,0.19335990845067988,,,,0.19335990845067988,,0,0.0,0,
